book_id,title
13548586,Le calcul vectoriel et ses applications en géométrie et en mécanique
12634261,Harry Calverley
11763078,Maurice Ledroit
22426311,Correspondances. Lettres à sa mère
11687876,"Réponse à Mr. le Baron J. L. de Scherpenzeel-Heusch, sur les erreurs contenues dans sa brochure L'avenir de la Belgique"
12962372,Appendice
13140912,Annuaire de l'hydrothérapie
13227043,Extracto metódico de un curso completo de Derecho político y administrativo
12442192,Die Betheiligung des Groszherzogthums Baden an der Universalaustellung zu Paris im Jahre 1867
11318977,Fabrication des Etoffes
13011162,De la consommation des vins de France en Angleterre
11383692,Oraison funèbre Louis XVIII
12105079,"De la Liberté, de la Méthode et de l'Esprit de Système dans l'Etude de la Nature"
22178188,Gloria y gratitud al immortal autor del Primus Me Circumdedisti Juan Sebastian del Cano
13510451,Guía de la Villa y Archivo de Simancas
12546088,Handbuch der mechanischen Technologie
12459178,Lettres de Alexandre Vinet
12171344,Dissertatio inauguralis chemico-medica de Alcohole [...]
13529221,Digt-Konst van Boileau-Despréaux (...)
11569291,Nouvelle théorie de la formation des filons [...]
