book_id,title,year,country_code,country_name
12035742,Anathème à la Guerre!,1889,be,Belgium
12281486,Catalogo da Bibliotheca Municipal,1878,be,Belgium
12748520,La nationalité des Ubiens,1899,be,Belgium
11827004,Lettres sur la religion,1869,fr,France
13033181,Socialisme égalitaire,1849,fr,France
11330764,Recueil de Jurisprudence Notariale,1865,be,Belgium
11307649,El génesis de nuestra raza. El catolicismo y la democracia. Los comuneros del Paraguay,1899,ag,Argentina
12483445,"Petit cours d'histoire de Belgique, rédigé conformément au programme des écoles primaires et des sections préparatoires des écoles moyennes",1895,be,Belgium
12726469,History of the regency and reign King George the fourth,1830,enk,United Kingdom
11884002,La Caverna ossifera di Frasassi,1872,it,Italy
11670422,Mémoires d'un bourgeois de Paris,1856,fr,France
13122198,Deuxième notice sur les travaux scientifiques de M. Camille Dareste,1879,fr,France
11716994,Étude sur les divers systèmes de serres,1891,be,Belgium
13367103,La photographie appliquée à l'archéologie,1879,fr,France
11673380,Procès en diffamation,1863,be,Belgium
13613519,Mémoire sur l'organisation de l'enseignement moyen,1853,be,Belgium
11705521,Commentarius in Acta Apostolorum,1837,be,Belgium
12257890,La Badia o trappa di Casamari nel suo doppio aspetto monumentale e storico brevemente descritta,1878,it,Italy
12381463,Hommage à la mémoire de la princesse de Liévin,1828,ru,Russia
13338602,"Till ähörande af de offentliga föredrag, hvarmed Professoren i ryska spräket och litteraturen",1868,fi,Finland
11676770,Die Papageien,1867,ne,Netherlands
13553998,Das herzogliche Kunstkabinet zu Gotha,1846,gw,Germany
12785113,Nécrologe et cartulaire des Dominicains de Grenoble,1870,fr,France
11335078,"Manuel du service sanitaire de l'armée, des prisons, des chemins de fer",1864,be,Belgium
12014613,De Bedelares van Saint-Eustache of de Wroeging,1888,be,Belgium
12994351,"Droit romain, de la preuve littérale. Droit français, de la force probante de l'acte notarié",1884,fr,France
12422803,België en de Kongo,1895,be,Belgium
12183096,La fin de la littérature classique allemande et la jeune Allemagne,1891,be,Belgium
12900596,Vie et aventures de John Davys,1840,be,Belgium
12070849,Contribution à l'étude profane de la Bible,1889,fr,France
12144268,Cours complet d'économie domestique et d'alimentation,1890,be,Belgium
12511674,Leçons de trigonométrie sphérique,1844,be,Belgium
11263218,Étude d'histoire sociale. La Noblesse française sous Richelieu,1901,fr,France
12144122,Du jury,1828,be,Belgium
12802149,Leçons d'Arithmétique élémentaire,1900,be,Belgium
13289123,"Des crises commerciales et de leur retour periodique en France, en Angleterre et aux Etats-Unis",1862,fr,France
12023321,"Preliminary report upon invertebrate fossils collected by the expeditions 1871, 1872, and 1873",1874,xxu,United States
11491384,De Arme Schoolmeester. Oranje in de Kempen.,1876,be,Belgium
11846790,Liste des membres de l'association des ingénieurs sortis de l'école de Liège,1850,be,Belgium
11645216,Lexicon,1871,gw,Germany
13448864,"Programme détaillé du cours complet de mathématiques élémentaires,",1832,fr,France
12965311,Liste générale et alphabétique des villes et communes de la Belgique,1837,be,Belgium
12254565,De laatste werken door het Davidsfonds uitgegeven,1892,be,Belgium
11612200,Compagnie générale pour l'éclairage et le chauffage par le gaz,1868,be,Belgium
22193759,Aardrijksundige beschrijving van Midden-Sumatra,1882,ne,Netherlands
13472939,"Glossaire roman des Chroniques rimées de Godefroid de Bouillon, du Chevalier au Cygne et de Gilles de Chin",1859,be,Belgium
15102782,"Adres voor-te-draegen aen de doorluchtige vergaedering der Staeten van Braband, door menigvuldige borgers en land-genooten van allen slach en rang",1790,be,Belgium
13455308,Bestimmungen über Handel and Schifffahrt der Vereinigten Staaten von Nord Amerika,1855,au,Austria
11520593,Abdication de Charles-Quint,1841,be,Belgium
12056542,Nouveau dictionnaire de poche flamand-français et français-flamand,1852,be,Belgium
17204157,Congrès international de thalassothérapie,1896,be,Belgium
12461056,Mac-Mahon et Canrobert,1896,be,Belgium
12160563,État de la question des eaux d'égout en France et à l'étranger,1877,fr,France
12136271,Il fanciullo alla Cresima,1890,it,Italy
11763311,Les véritables causes de la guerre,1871,be,Belgium
11834824,Critiques militaires,1871,fr,France
12285884,Les Druides,1844,fr,France
12344937,"Zal er een kwaad in de Stad zijn, dat de Heer niet doet?",1832,ne,Netherlands
12384864,Le livre des visions et instructions de la Bienheureuse Angèle de Foligno,1895,be,Belgium
11703392,"Courage, St-Père, courage!",1881,be,Belgium
12205107,Notice historique sur la vie et les travaux de Victor Cousin,1869,fr,France
12558486,De heilige Rosa van Viterbië,1897,be,Belgium
11275038,La celebre contesa fra S.Stefano e S. Cipriano,1862,it,Italy
12846755,L'Art Chrétien et l'Ecole Allemande,1856,fr,France
15099949,"Aen Myne zeer Eerweêrde Heeren die Raedslieden, Litmaeten van den Souvereynen Raede Van Brabant, actuelyk binnen de Stad Antwerpen residerende",1788,be,Belgium
12877580,Traité de change,1843,be,Belgium
