book_id,title,year,language,publisher_name_cleaned,period
15097212,"Discours Adressé à Messeigneurs les Etats du Brabant, en leur Assemblée. Le 17 juillet 1787",1787,fre,,1751-1800
13392001,Bibliotheca Lindesiana,1886,eng,,1861-1890
13025659,Vita di S. Luigi Gonzaga della Compagnia di Gesu,1891,ita,,1891-1901
12743788,Traité de chimie pharmaceutique,1899,fre,H. Vaillant-Carmanne,1891-1901
13277861,Pequeneces,1891,spa,El Mensajero Del Corazon De Jesus,1891-1901
12118295,Direction pour rassurer dans leurs doutes les âmes vouées à la piété,1890,fre,Société Belge De Librairie,1891-1901
11716717,Discours du genre délibératif,1883,fre,Alphonse Lonnia,1861-1890
12035742,Anathème à la Guerre!,1889,fre,,1861-1890
12281486,Catalogo da Bibliotheca Municipal,1878,por,,1861-1890
12748520,La nationalité des Ubiens,1899,fre,,1891-1901
11827004,Lettres sur la religion,1869,fre,"Douniol, Charles",1861-1890
11827004,Lettres sur la religion,1869,fre,Lecoffre & Cie,1861-1890
13033181,Socialisme égalitaire,1849,fre,,1831-1860
11330764,Recueil de Jurisprudence Notariale,1865,fre,,1861-1890
