book_id,year
12337450,1879
12582726,1852
13475369,1860
12798559,1877
12663557,1864
12439258,1873
11689390,1842
12638220,1885
11908570,1886
11489462,1869
12757785,1899
11618572,1897
12512186,1896
13365636,1874
13651604,1838
11579777,1878
13725989,1888
22264513,1860
12674208,1885
12280007,1893
11695983,1872
12829602,1873
13675550,1893
12467212,1864
12896107,1901
13629177,1854
11404781,1893
12975355,1868
12574255,1874
12211605,1837
11982055,1887
13367644,1895
13011320,1852
11267077,1901
18161352,1888
11673612,1863
12955385,1890
13548586,1897
12944918,1901
12634261,1836
12128234,1890
11763078,1883
12125718,1860
22426311,1877
11700369,1880
11687876,1872
12962372,1863
13706485,1899
13140912,1892
12166184,1847
13042984,1838
13227043,1873
12442192,1867
11318977,1866
13224039,1856
13011162,1843
11383692,1824
12105079,1869
22178188,1882
13510451,1885
12546088,1857
12459178,1882
13690201,1883
11853528,1885
12171344,1826
13529221,1810
11569291,1802
15138176,1734
11540667,1825
11974732,1831
12518106,1805
15568683,1770
11588617,1814
12728858,1825
13040461,1829
13333107,1830
11658726,1827
15430911,1756
11937571,1815
11556419,1878
11556674,1852
11520346,1877
11918873,1857
13277969,1814
11621481,1830
13635129,1820
11910695,1828
13136111,1819
17274664,1881
17688383,1852
13514958,1844
12755406,1822
13077036,1816
13597360,1824
13253450,1806
15509939,1790
13194505,1829
11553929,1853
13222602,1819
13229036,1815
11340561,1814
12406023,1832
13105122,1821
12453864,1841
12170689,1835
11684230,1825
15771476,1836
12174443,1857
12152755,1862
13330436,1809
13556450,1824
13625138,1805
13397456,1828
11780297,1824
12667165,1828
13083571,1830
15566065,1609
13292706,1829
12170151,1821
22563242,1805
15509832,1790
18499098,1701
12982019,1802
12980525,1809
11788213,1828
18336655,1739
12710920,1856
11338853,1838
17684784,1900
12290034,1856
13075011,1816
13005794,1822
15508146,1790
18430045,1602
15200404,1791
13259256,1830
13027381,1807
12293638,1829
13596609,1823
11784903,1884
12155943,1866
13511302,1806
12356326,1832
15552831,1796
12291189,1816
11286510,1801
12148962,1858
13070717,1828
12190758,1845
11931676,1865
12816807,1828
13221558,1853
17613932,1842
18425911,1790
11286194,1803
12392368,1822
13043330,1826
13210643,1838
12509346,1818
12207829,1826
15508881,1790
12299252,1846
12271427,1830
18410307,1717
17694456,1859
11339500,1836
15505473,1787
13408564,1825
13143113,1829
12679390,1807
12298222,1836
12239340,1813
12309375,1816
13027886,1803
18286965,1692
12137464,1841
11914077,1822
12755658,1823
13078278,1813
13028683,1820
14988554,1787
13550704,1827
11312867,1812
13332971,1823
12428009,1828
13114454,1833
13462203,1815
11913398,1873
13661458,1824
11288125,1814
22730184,1851
11938983,1823
12802062,1822
13239859,1826
15492303,1790
11344772,1837
13327253,1829
13189383,1850
11568978,1878
15803771,1789
18395999,1632
15509481,1790
11552832,1851
13471006,1819
12161480,1838
13241731,1840
15589584,1731
13523918,1839
12138317,1873
12358710,1839
12359151,1894
11643312,1827
11688025,1834
12160975,1839
12711716,1846
12360294,1845
12000148,1826
11814852,1841
18256479,1638
12158135,1880
13073096,1816
12240864,1877
13294545,1834
12141633,1842
11592049,1814
18249428,1649
13158895,1843
11913150,1860
22555002,1826
13330404,1798
13401752,1863
12214467,1807
11739247,1803
12202212,1833
15480075,1894
13540814,1824
12861692,1840
11951722,1817
13633872,1829
13156156,1858
12151233,1874
12299832,1845
12408801,1860
11703282,1803
12424452,1828
11734618,1814
15514048,1792
11556537,1863
13532899,1858
13732370,1857
13396259,1837
11919482,1858
11795091,1821
